Processor % Privileged Time,25,33
Processor Interrupts/sec,67,70
Processor % DPC Time,44,74
Processor % Interrupt Time,41,65
Processor DPCs Queued/sec,79,87
Processor DPC Rate,137,181
Processor % Idle Time,2,8
Processor % C1 Time,0,10
Processor % C2 Time,146,134
Processor % C3 Time,202,185
Processor C1 Transitions/sec,66,71
Processor C2 Transitions/sec,177,130
Processor C3 Transitions/sec,178,189
System File Read Operations/sec,35,94
System File Write Operations/sec,74,95
System File Control Operations/sec,47,72
System File Read Bytes/sec,23,35
System File Write Bytes/sec,10,47
System File Control Bytes/sec,22,49
System Context Switches/sec,69,68
System System Calls/sec,38,61
System File Data Operations/sec,37,88
System System Up Time,55,0
System Processor Queue Length,130,203
System Processes,139,121
System Threads,114,111
System Alignment Fixups/sec,180,193
System Exception Dispatches/sec,80,81
System Floating Emulations/sec,181,190
System % Registry Quota In Use,88,48
TCPv4 Segments/sec,106,126
TCPv4 Connections Established,182,186
TCPv4 Connections Active,108,160
TCPv4 Connections Passive,183,131
TCPv4 Connection Failures,104,133
TCPv4 Connections Reset,136,144
TCPv4 Segments Received/sec,119,187
TCPv4 Segments Sent/sec,109,161
TCPv4 Segments Retransmitted/sec,107,145
Thread Context Switches/sec,70,69
Thread % Processor Time,6,4
Thread % User Time,29,46
Thread % Privileged Time,4,6
Thread Elapsed Time,57,2
Thread Priority Current,186,196
Thread Priority Base,187,125
Thread Start Address,188,146
Thread Thread State,189,156
Thread Thread Wait Reason,191,124
Thread ID Process,192,159
Thread ID Thread,200,172
UDPv4 Datagrams/sec,110,112
UDPv4 Datagrams Received/sec,115,117
UDPv4 Datagrams No Port/sec,140,173
UDPv4 Datagrams Received Errors,193,200
UDPv4 Datagrams Sent/sec,116,116
