Process IO Read Operations/sec,35,199,166
Process IO Write Bytes/sec,9,198,1
Process IO Write Operations/sec,75,197,139
Process Page Faults/sec,72,6,178
Process Page File Bytes,52,196,66
Process Page File Bytes Peak,48,195,78
Process Pool Nonpaged Bytes,96,194,103
Process Pool Paged Bytes,87,193,97
Process Priority Base,182,192,100
Process Private Bytes,51,191,92
Process Thread Count,121,190,75
Process Virtual Bytes,40,189,38
Process Virtual Bytes Peak,41,188,59
Process Working Set,47,187,36
Process Working Set - Private,50,186,60
Process Working Set Peak,46,185,37
Processor % C1 Time,0,184,7
Processor % C2 Time,183,183,39
Processor % C3 Time,184,182,33
Processor % DPC Time,53,180,70
Processor % Idle Time,2,154,74
Processor % Interrupt Time,34,130,65
Processor % Privileged Time,27,153,87
Processor % Processor Time,1,127,181
Processor % User Time,23,126,8
Processor C1 Transitions/sec,70,125,10
Processor C2 Transitions/sec,185,124,134
Processor C3 Transitions/sec,186,123,185
Processor DPC Rate,139,122,71
Processor DPCs Queued/sec,85,121,130
Processor Interrupts/sec,71,120,189
System % Registry Quota In Use,98,4,94
System Alignment Fixups/sec,172,119,95
System Context Switches/sec,64,118,72
System Exception Dispatches/sec,86,1,35
System File Control Bytes/sec,12,117,47
System File Control Operations/sec,57,116,49
System File Data Operations/sec,38,115,68
System File Read Bytes/sec,25,114,61
System File Read Operations/sec,36,113,88
System File Write Bytes/sec,10,112,0
System File Write Operations/sec,76,111,203
System Floating Emulations/sec,187,110,121
System Processes,140,109,111
System Processor Queue Length,134,108,193
System System Calls/sec,39,107,81
System System Up Time,54,128,190
System Threads,122,106,48
TCPv4 Connection Failures,116,129,126
TCPv4 Connections Active,118,131,186
TCPv4 Connections Established,131,152,160
TCPv4 Connections Passive,141,151,131
TCPv4 Connections Reset,123,150,133
TCPv4 Segments Received/sec,91,149,144
TCPv4 Segments Retransmitted/sec,119,148,187
TCPv4 Segments Sent/sec,100,147,161
TCPv4 Segments/sec,88,146,145
Thread % Privileged Time,3,145,69
Thread % Processor Time,5,144,4
Thread % User Time,26,143,46
Thread Context Switches/sec,66,142,6
Thread Elapsed Time,59,141,2
